Date,Year,Quarter,Month_Number,Month_Name,Year_Month,Day_Number,Day_Name,Day_Of_Week,Is_Weekend
2023-05-05,2023,Q2,5,May,2023-05,5,Friday,5,No
2023-05-06,2023,Q2,5,May,2023-05,6,Saturday,6,Yes
2023-05-07,2023,Q2,5,May,2023-05,7,Sunday,7,Yes
2023-05-08,2023,Q2,5,May,2023-05,8,Monday,1,No
2023-05-09,2023,Q2,5,May,2023-05,9,Tuesday,2,No
2023-05-10,2023,Q2,5,May,2023-05,10,Wednesday,3,No
2023-05-11,2023,Q2,5,May,2023-05,11,Thursday,4,No
2023-05-12,2023,Q2,5,May,2023-05,12,Friday,5,No
2023-05-13,2023,Q2,5,May,2023-05,13,Saturday,6,Yes
2023-05-14,2023,Q2,5,May,2023-05,14,Sunday,7,Yes
2023-05-15,2023,Q2,5,May,2023-05,15,Monday,1,No
2023-05-16,2023,Q2,5,May,2023-05,16,Tuesday,2,No
2023-05-17,2023,Q2,5,May,2023-05,17,Wednesday,3,No
2023-05-18,2023,Q2,5,May,2023-05,18,Thursday,4,No
2023-05-19,2023,Q2,5,May,2023-05,19,Friday,5,No
2023-05-20,2023,Q2,5,May,2023-05,20,Saturday,6,Yes
2023-05-21,2023,Q2,5,May,2023-05,21,Sunday,7,Yes
2023-05-22,2023,Q2,5,May,2023-05,22,Monday,1,No
2023-05-23,2023,Q2,5,May,2023-05,23,Tuesday,2,No
2023-05-24,2023,Q2,5,May,2023-05,24,Wednesday,3,No
2023-05-25,2023,Q2,5,May,2023-05,25,Thursday,4,No
2023-05-26,2023,Q2,5,May,2023-05,26,Friday,5,No
2023-05-27,2023,Q2,5,May,2023-05,27,Saturday,6,Yes
2023-05-28,2023,Q2,5,May,2023-05,28,Sunday,7,Yes
2023-05-29,2023,Q2,5,May,2023-05,29,Monday,1,No
2023-05-30,2023,Q2,5,May,2023-05,30,Tuesday,2,No
2023-05-31,2023,Q2,5,May,2023-05,31,Wednesday,3,No
2023-06-01,2023,Q2,6,Jun,2023-06,1,Thursday,4,No
2023-06-02,2023,Q2,6,Jun,2023-06,2,Friday,5,No
2023-06-03,2023,Q2,6,Jun,2023-06,3,Saturday,6,Yes
2023-06-04,2023,Q2,6,Jun,2023-06,4,Sunday,7,Yes
2023-06-05,2023,Q2,6,Jun,2023-06,5,Monday,1,No
2023-06-06,2023,Q2,6,Jun,2023-06,6,Tuesday,2,No
2023-06-07,2023,Q2,6,Jun,2023-06,7,Wednesday,3,No
2023-06-08,2023,Q2,6,Jun,2023-06,8,Thursday,4,No
2023-06-09,2023,Q2,6,Jun,2023-06,9,Friday,5,No
2023-06-10,2023,Q2,6,Jun,2023-06,10,Saturday,6,Yes
2023-06-11,2023,Q2,6,Jun,2023-06,11,Sunday,7,Yes
2023-06-12,2023,Q2,6,Jun,2023-06,12,Monday,1,No
2023-06-13,2023,Q2,6,Jun,2023-06,13,Tuesday,2,No
2023-06-14,2023,Q2,6,Jun,2023-06,14,Wednesday,3,No
2023-06-15,2023,Q2,6,Jun,2023-06,15,Thursday,4,No
2023-06-16,2023,Q2,6,Jun,2023-06,16,Friday,5,No
2023-06-17,2023,Q2,6,Jun,2023-06,17,Saturday,6,Yes
2023-06-18,2023,Q2,6,Jun,2023-06,18,Sunday,7,Yes
2023-06-19,2023,Q2,6,Jun,2023-06,19,Monday,1,No
2023-06-20,2023,Q2,6,Jun,2023-06,20,Tuesday,2,No
2023-06-21,2023,Q2,6,Jun,2023-06,21,Wednesday,3,No
2023-06-22,2023,Q2,6,Jun,2023-06,22,Thursday,4,No
2023-06-23,2023,Q2,6,Jun,2023-06,23,Friday,5,No
2023-06-24,2023,Q2,6,Jun,2023-06,24,Saturday,6,Yes
2023-06-25,2023,Q2,6,Jun,2023-06,25,Sunday,7,Yes
2023-06-26,2023,Q2,6,Jun,2023-06,26,Monday,1,No
2023-06-27,2023,Q2,6,Jun,2023-06,27,Tuesday,2,No
2023-06-28,2023,Q2,6,Jun,2023-06,28,Wednesday,3,No
2023-06-29,2023,Q2,6,Jun,2023-06,29,Thursday,4,No
2023-06-30,2023,Q2,6,Jun,2023-06,30,Friday,5,No
2023-07-01,2023,Q3,7,Jul,2023-07,1,Saturday,6,Yes
2023-07-02,2023,Q3,7,Jul,2023-07,2,Sunday,7,Yes
2023-07-03,2023,Q3,7,Jul,2023-07,3,Monday,1,No
2023-07-04,2023,Q3,7,Jul,2023-07,4,Tuesday,2,No
2023-07-05,2023,Q3,7,Jul,2023-07,5,Wednesday,3,No
2023-07-06,2023,Q3,7,Jul,2023-07,6,Thursday,4,No
2023-07-07,2023,Q3,7,Jul,2023-07,7,Friday,5,No
2023-07-08,2023,Q3,7,Jul,2023-07,8,Saturday,6,Yes
2023-07-09,2023,Q3,7,Jul,2023-07,9,Sunday,7,Yes
2023-07-10,2023,Q3,7,Jul,2023-07,10,Monday,1,No
2023-07-11,2023,Q3,7,Jul,2023-07,11,Tuesday,2,No
2023-07-12,2023,Q3,7,Jul,2023-07,12,Wednesday,3,No
2023-07-13,2023,Q3,7,Jul,2023-07,13,Thursday,4,No
2023-07-14,2023,Q3,7,Jul,2023-07,14,Friday,5,No
2023-07-15,2023,Q3,7,Jul,2023-07,15,Saturday,6,Yes
2023-07-16,2023,Q3,7,Jul,2023-07,16,Sunday,7,Yes
2023-07-17,2023,Q3,7,Jul,2023-07,17,Monday,1,No
2023-07-18,2023,Q3,7,Jul,2023-07,18,Tuesday,2,No
2023-07-19,2023,Q3,7,Jul,2023-07,19,Wednesday,3,No
2023-07-20,2023,Q3,7,Jul,2023-07,20,Thursday,4,No
2023-07-21,2023,Q3,7,Jul,2023-07,21,Friday,5,No
2023-07-22,2023,Q3,7,Jul,2023-07,22,Saturday,6,Yes
2023-07-23,2023,Q3,7,Jul,2023-07,23,Sunday,7,Yes
2023-07-24,2023,Q3,7,Jul,2023-07,24,Monday,1,No
2023-07-25,2023,Q3,7,Jul,2023-07,25,Tuesday,2,No
2023-07-26,2023,Q3,7,Jul,2023-07,26,Wednesday,3,No
2023-07-27,2023,Q3,7,Jul,2023-07,27,Thursday,4,No
2023-07-28,2023,Q3,7,Jul,2023-07,28,Friday,5,No
2023-07-29,2023,Q3,7,Jul,2023-07,29,Saturday,6,Yes
2023-07-30,2023,Q3,7,Jul,2023-07,30,Sunday,7,Yes
2023-07-31,2023,Q3,7,Jul,2023-07,31,Monday,1,No
2023-08-01,2023,Q3,8,Aug,2023-08,1,Tuesday,2,No
2023-08-02,2023,Q3,8,Aug,2023-08,2,Wednesday,3,No
2023-08-03,2023,Q3,8,Aug,2023-08,3,Thursday,4,No
2023-08-04,2023,Q3,8,Aug,2023-08,4,Friday,5,No
2023-08-05,2023,Q3,8,Aug,2023-08,5,Saturday,6,Yes
2023-08-06,2023,Q3,8,Aug,2023-08,6,Sunday,7,Yes
2023-08-07,2023,Q3,8,Aug,2023-08,7,Monday,1,No
2023-08-08,2023,Q3,8,Aug,2023-08,8,Tuesday,2,No
2023-08-09,2023,Q3,8,Aug,2023-08,9,Wednesday,3,No
2023-08-10,2023,Q3,8,Aug,2023-08,10,Thursday,4,No
2023-08-11,2023,Q3,8,Aug,2023-08,11,Friday,5,No
2023-08-12,2023,Q3,8,Aug,2023-08,12,Saturday,6,Yes
2023-08-13,2023,Q3,8,Aug,2023-08,13,Sunday,7,Yes
2023-08-14,2023,Q3,8,Aug,2023-08,14,Monday,1,No
2023-08-15,2023,Q3,8,Aug,2023-08,15,Tuesday,2,No
2023-08-16,2023,Q3,8,Aug,2023-08,16,Wednesday,3,No
2023-08-17,2023,Q3,8,Aug,2023-08,17,Thursday,4,No
2023-08-18,2023,Q3,8,Aug,2023-08,18,Friday,5,No
2023-08-19,2023,Q3,8,Aug,2023-08,19,Saturday,6,Yes
2023-08-20,2023,Q3,8,Aug,2023-08,20,Sunday,7,Yes
2023-08-21,2023,Q3,8,Aug,2023-08,21,Monday,1,No
2023-08-22,2023,Q3,8,Aug,2023-08,22,Tuesday,2,No
2023-08-23,2023,Q3,8,Aug,2023-08,23,Wednesday,3,No
2023-08-24,2023,Q3,8,Aug,2023-08,24,Thursday,4,No
2023-08-25,2023,Q3,8,Aug,2023-08,25,Friday,5,No
2023-08-26,2023,Q3,8,Aug,2023-08,26,Saturday,6,Yes
2023-08-27,2023,Q3,8,Aug,2023-08,27,Sunday,7,Yes
2023-08-28,2023,Q3,8,Aug,2023-08,28,Monday,1,No
2023-08-29,2023,Q3,8,Aug,2023-08,29,Tuesday,2,No
2023-08-30,2023,Q3,8,Aug,2023-08,30,Wednesday,3,No
2023-08-31,2023,Q3,8,Aug,2023-08,31,Thursday,4,No
2023-09-01,2023,Q3,9,Sep,2023-09,1,Friday,5,No
2023-09-02,2023,Q3,9,Sep,2023-09,2,Saturday,6,Yes
2023-09-03,2023,Q3,9,Sep,2023-09,3,Sunday,7,Yes
2023-09-04,2023,Q3,9,Sep,2023-09,4,Monday,1,No
2023-09-05,2023,Q3,9,Sep,2023-09,5,Tuesday,2,No
2023-09-06,2023,Q3,9,Sep,2023-09,6,Wednesday,3,No
2023-09-07,2023,Q3,9,Sep,2023-09,7,Thursday,4,No
2023-09-08,2023,Q3,9,Sep,2023-09,8,Friday,5,No
2023-09-09,2023,Q3,9,Sep,2023-09,9,Saturday,6,Yes
2023-09-10,2023,Q3,9,Sep,2023-09,10,Sunday,7,Yes
2023-09-11,2023,Q3,9,Sep,2023-09,11,Monday,1,No
2023-09-12,2023,Q3,9,Sep,2023-09,12,Tuesday,2,No
2023-09-13,2023,Q3,9,Sep,2023-09,13,Wednesday,3,No
2023-09-14,2023,Q3,9,Sep,2023-09,14,Thursday,4,No
2023-09-15,2023,Q3,9,Sep,2023-09,15,Friday,5,No
2023-09-16,2023,Q3,9,Sep,2023-09,16,Saturday,6,Yes
2023-09-17,2023,Q3,9,Sep,2023-09,17,Sunday,7,Yes
2023-09-18,2023,Q3,9,Sep,2023-09,18,Monday,1,No
2023-09-19,2023,Q3,9,Sep,2023-09,19,Tuesday,2,No
2023-09-20,2023,Q3,9,Sep,2023-09,20,Wednesday,3,No
2023-09-21,2023,Q3,9,Sep,2023-09,21,Thursday,4,No
2023-09-22,2023,Q3,9,Sep,2023-09,22,Friday,5,No
2023-09-23,2023,Q3,9,Sep,2023-09,23,Saturday,6,Yes
2023-09-24,2023,Q3,9,Sep,2023-09,24,Sunday,7,Yes
2023-09-25,2023,Q3,9,Sep,2023-09,25,Monday,1,No
2023-09-26,2023,Q3,9,Sep,2023-09,26,Tuesday,2,No
2023-09-27,2023,Q3,9,Sep,2023-09,27,Wednesday,3,No
2023-09-28,2023,Q3,9,Sep,2023-09,28,Thursday,4,No
2023-09-29,2023,Q3,9,Sep,2023-09,29,Friday,5,No
2023-09-30,2023,Q3,9,Sep,2023-09,30,Saturday,6,Yes
2023-10-01,2023,Q4,10,Oct,2023-10,1,Sunday,7,Yes
2023-10-02,2023,Q4,10,Oct,2023-10,2,Monday,1,No
2023-10-03,2023,Q4,10,Oct,2023-10,3,Tuesday,2,No
2023-10-04,2023,Q4,10,Oct,2023-10,4,Wednesday,3,No
2023-10-05,2023,Q4,10,Oct,2023-10,5,Thursday,4,No
2023-10-06,2023,Q4,10,Oct,2023-10,6,Friday,5,No
2023-10-07,2023,Q4,10,Oct,2023-10,7,Saturday,6,Yes
2023-10-08,2023,Q4,10,Oct,2023-10,8,Sunday,7,Yes
2023-10-09,2023,Q4,10,Oct,2023-10,9,Monday,1,No
2023-10-10,2023,Q4,10,Oct,2023-10,10,Tuesday,2,No
2023-10-11,2023,Q4,10,Oct,2023-10,11,Wednesday,3,No
2023-10-12,2023,Q4,10,Oct,2023-10,12,Thursday,4,No
2023-10-13,2023,Q4,10,Oct,2023-10,13,Friday,5,No
2023-10-14,2023,Q4,10,Oct,2023-10,14,Saturday,6,Yes
2023-10-15,2023,Q4,10,Oct,2023-10,15,Sunday,7,Yes
2023-10-16,2023,Q4,10,Oct,2023-10,16,Monday,1,No
2023-10-17,2023,Q4,10,Oct,2023-10,17,Tuesday,2,No
2023-10-18,2023,Q4,10,Oct,2023-10,18,Wednesday,3,No
2023-10-19,2023,Q4,10,Oct,2023-10,19,Thursday,4,No
2023-10-20,2023,Q4,10,Oct,2023-10,20,Friday,5,No
2023-10-21,2023,Q4,10,Oct,2023-10,21,Saturday,6,Yes
2023-10-22,2023,Q4,10,Oct,2023-10,22,Sunday,7,Yes
2023-10-23,2023,Q4,10,Oct,2023-10,23,Monday,1,No
2023-10-24,2023,Q4,10,Oct,2023-10,24,Tuesday,2,No
2023-10-25,2023,Q4,10,Oct,2023-10,25,Wednesday,3,No
2023-10-26,2023,Q4,10,Oct,2023-10,26,Thursday,4,No
2023-10-27,2023,Q4,10,Oct,2023-10,27,Friday,5,No
2023-10-28,2023,Q4,10,Oct,2023-10,28,Saturday,6,Yes
2023-10-29,2023,Q4,10,Oct,2023-10,29,Sunday,7,Yes
2023-10-30,2023,Q4,10,Oct,2023-10,30,Monday,1,No
2023-10-31,2023,Q4,10,Oct,2023-10,31,Tuesday,2,No
2023-11-01,2023,Q4,11,Nov,2023-11,1,Wednesday,3,No
2023-11-02,2023,Q4,11,Nov,2023-11,2,Thursday,4,No
2023-11-03,2023,Q4,11,Nov,2023-11,3,Friday,5,No
2023-11-04,2023,Q4,11,Nov,2023-11,4,Saturday,6,Yes
2023-11-05,2023,Q4,11,Nov,2023-11,5,Sunday,7,Yes
2023-11-06,2023,Q4,11,Nov,2023-11,6,Monday,1,No
2023-11-07,2023,Q4,11,Nov,2023-11,7,Tuesday,2,No
2023-11-08,2023,Q4,11,Nov,2023-11,8,Wednesday,3,No
2023-11-09,2023,Q4,11,Nov,2023-11,9,Thursday,4,No
2023-11-10,2023,Q4,11,Nov,2023-11,10,Friday,5,No
2023-11-11,2023,Q4,11,Nov,2023-11,11,Saturday,6,Yes
2023-11-12,2023,Q4,11,Nov,2023-11,12,Sunday,7,Yes
2023-11-13,2023,Q4,11,Nov,2023-11,13,Monday,1,No
2023-11-14,2023,Q4,11,Nov,2023-11,14,Tuesday,2,No
2023-11-15,2023,Q4,11,Nov,2023-11,15,Wednesday,3,No
2023-11-16,2023,Q4,11,Nov,2023-11,16,Thursday,4,No
2023-11-17,2023,Q4,11,Nov,2023-11,17,Friday,5,No
2023-11-18,2023,Q4,11,Nov,2023-11,18,Saturday,6,Yes
2023-11-19,2023,Q4,11,Nov,2023-11,19,Sunday,7,Yes
2023-11-20,2023,Q4,11,Nov,2023-11,20,Monday,1,No
2023-11-21,2023,Q4,11,Nov,2023-11,21,Tuesday,2,No
2023-11-22,2023,Q4,11,Nov,2023-11,22,Wednesday,3,No
2023-11-23,2023,Q4,11,Nov,2023-11,23,Thursday,4,No
2023-11-24,2023,Q4,11,Nov,2023-11,24,Friday,5,No
2023-11-25,2023,Q4,11,Nov,2023-11,25,Saturday,6,Yes
2023-11-26,2023,Q4,11,Nov,2023-11,26,Sunday,7,Yes
2023-11-27,2023,Q4,11,Nov,2023-11,27,Monday,1,No
2023-11-28,2023,Q4,11,Nov,2023-11,28,Tuesday,2,No
2023-11-29,2023,Q4,11,Nov,2023-11,29,Wednesday,3,No
2023-11-30,2023,Q4,11,Nov,2023-11,30,Thursday,4,No
2023-12-01,2023,Q4,12,Dec,2023-12,1,Friday,5,No
2023-12-02,2023,Q4,12,Dec,2023-12,2,Saturday,6,Yes
2023-12-03,2023,Q4,12,Dec,2023-12,3,Sunday,7,Yes
2023-12-04,2023,Q4,12,Dec,2023-12,4,Monday,1,No
2023-12-05,2023,Q4,12,Dec,2023-12,5,Tuesday,2,No
2023-12-06,2023,Q4,12,Dec,2023-12,6,Wednesday,3,No
2023-12-07,2023,Q4,12,Dec,2023-12,7,Thursday,4,No
2023-12-08,2023,Q4,12,Dec,2023-12,8,Friday,5,No
2023-12-09,2023,Q4,12,Dec,2023-12,9,Saturday,6,Yes
2023-12-10,2023,Q4,12,Dec,2023-12,10,Sunday,7,Yes
2023-12-11,2023,Q4,12,Dec,2023-12,11,Monday,1,No
2023-12-12,2023,Q4,12,Dec,2023-12,12,Tuesday,2,No
2023-12-13,2023,Q4,12,Dec,2023-12,13,Wednesday,3,No
2023-12-14,2023,Q4,12,Dec,2023-12,14,Thursday,4,No
2023-12-15,2023,Q4,12,Dec,2023-12,15,Friday,5,No
2023-12-16,2023,Q4,12,Dec,2023-12,16,Saturday,6,Yes
2023-12-17,2023,Q4,12,Dec,2023-12,17,Sunday,7,Yes
2023-12-18,2023,Q4,12,Dec,2023-12,18,Monday,1,No
2023-12-19,2023,Q4,12,Dec,2023-12,19,Tuesday,2,No
2023-12-20,2023,Q4,12,Dec,2023-12,20,Wednesday,3,No
2023-12-21,2023,Q4,12,Dec,2023-12,21,Thursday,4,No
2023-12-22,2023,Q4,12,Dec,2023-12,22,Friday,5,No
2023-12-23,2023,Q4,12,Dec,2023-12,23,Saturday,6,Yes
2023-12-24,2023,Q4,12,Dec,2023-12,24,Sunday,7,Yes
2023-12-25,2023,Q4,12,Dec,2023-12,25,Monday,1,No
2023-12-26,2023,Q4,12,Dec,2023-12,26,Tuesday,2,No
2023-12-27,2023,Q4,12,Dec,2023-12,27,Wednesday,3,No
2023-12-28,2023,Q4,12,Dec,2023-12,28,Thursday,4,No
2023-12-29,2023,Q4,12,Dec,2023-12,29,Friday,5,No
2023-12-30,2023,Q4,12,Dec,2023-12,30,Saturday,6,Yes
2023-12-31,2023,Q4,12,Dec,2023-12,31,Sunday,7,Yes
2024-01-01,2024,Q1,1,Jan,2024-01,1,Monday,1,No
2024-01-02,2024,Q1,1,Jan,2024-01,2,Tuesday,2,No
2024-01-03,2024,Q1,1,Jan,2024-01,3,Wednesday,3,No
2024-01-04,2024,Q1,1,Jan,2024-01,4,Thursday,4,No
2024-01-05,2024,Q1,1,Jan,2024-01,5,Friday,5,No
2024-01-06,2024,Q1,1,Jan,2024-01,6,Saturday,6,Yes
2024-01-07,2024,Q1,1,Jan,2024-01,7,Sunday,7,Yes
2024-01-08,2024,Q1,1,Jan,2024-01,8,Monday,1,No
2024-01-09,2024,Q1,1,Jan,2024-01,9,Tuesday,2,No
2024-01-10,2024,Q1,1,Jan,2024-01,10,Wednesday,3,No
2024-01-11,2024,Q1,1,Jan,2024-01,11,Thursday,4,No
2024-01-12,2024,Q1,1,Jan,2024-01,12,Friday,5,No
2024-01-13,2024,Q1,1,Jan,2024-01,13,Saturday,6,Yes
2024-01-14,2024,Q1,1,Jan,2024-01,14,Sunday,7,Yes
2024-01-15,2024,Q1,1,Jan,2024-01,15,Monday,1,No
2024-01-16,2024,Q1,1,Jan,2024-01,16,Tuesday,2,No
